mode,sim_seconds,decision_interval,packet_interval_s,rounds,generated,arrived,dropped,arrived_packets,dropped_packets,pdr,average_delay_s,decision_count,decision_time_total_s,average_decision_time_s,total_delay
baseline,10,10,2.0,1,13,0,12,0,12,0.0,0.23960583297838686,0,0.0,0.0,2.8752699957406422
quantum,10,10,2.0,1,13,0,12,0,12,0.0,0.2400638381576409,1,0.06435053600216634,0.06435053600216634,2.880766057891691
