mode,seed,time_s,in_burst,window_generated,window_arrived,window_dropped,window_pdr,cumulative_generated,cumulative_arrived,cumulative_dropped,cumulative_pdr,queue_depth,cache_hits,cache_misses,cache_hit_rate
baseline,13,10,False,50,0,48,0.0,50,0,48,0.0,2,0,0,0.0
baseline,13,20,False,50,0,50,0.0,100,0,98,0.0,2,0,0,0.0
baseline,13,30,False,50,49,1,0.98,150,49,99,0.32666666666666666,2,0,0,0.0
baseline,13,40,False,50,0,50,0.0,200,49,149,0.245,2,0,0,0.0
baseline,13,50,False,50,0,50,0.0,250,49,199,0.196,2,0,0,0.0
baseline,13,60,False,50,0,50,0.0,300,49,249,0.16333333333333333,2,0,0,0.0
baseline,13,70,False,50,0,50,0.0,350,49,299,0.14,2,0,0,0.0
baseline,13,80,False,50,0,50,0.0,400,49,349,0.1225,2,0,0,0.0
baseline,13,90,False,50,0,50,0.0,450,49,399,0.10888888888888888,2,0,0,0.0
baseline,13,100,False,50,0,50,0.0,500,49,449,0.098,2,0,0,0.0
baseline,13,110,False,50,0,50,0.0,550,49,499,0.0890909090909091,2,0,0,0.0
baseline,13,120,False,50,0,50,0.0,600,49,549,0.08166666666666667,2,0,0,0.0
baseline,13,130,False,50,0,50,0.0,650,49,599,0.07538461538461538,2,0,0,0.0
baseline,13,140,False,50,0,50,0.0,700,49,649,0.07,2,0,0,0.0
baseline,13,150,False,50,0,50,0.0,750,49,699,0.06533333333333333,2,0,0,0.0
baseline,13,160,False,50,0,50,0.0,800,49,749,0.06125,2,0,0,0.0
baseline,13,170,False,50,0,50,0.0,850,49,799,0.05764705882352941,2,0,0,0.0
baseline,13,180,False,50,0,50,0.0,900,49,849,0.05444444444444444,2,0,0,0.0
baseline,13,190,False,50,0,50,0.0,950,49,899,0.05157894736842105,2,0,0,0.0
baseline,13,200,False,50,0,50,0.0,1000,49,949,0.049,2,0,0,0.0
baseline,13,210,False,50,50,1,0.9803921568627451,1050,99,950,0.09428571428571429,1,0,0,0.0
baseline,13,220,False,50,0,49,0.0,1100,99,999,0.09,2,0,0,0.0
baseline,13,230,False,50,0,50,0.0,1150,99,1049,0.08608695652173913,2,0,0,0.0
baseline,13,240,False,50,0,50,0.0,1200,99,1099,0.0825,2,0,0,0.0
baseline,13,250,False,50,0,50,0.0,1250,99,1149,0.0792,2,0,0,0.0
baseline,13,260,False,50,0,50,0.0,1300,99,1199,0.07615384615384616,2,0,0,0.0
baseline,13,270,False,50,0,50,0.0,1350,99,1249,0.07333333333333333,2,0,0,0.0
baseline,13,280,False,50,0,50,0.0,1400,99,1299,0.07071428571428572,2,0,0,0.0
baseline,13,290,False,50,0,50,0.0,1450,99,1349,0.06827586206896552,2,0,0,0.0
baseline,13,300,True,50,0,50,0.0,1500,99,1399,0.066,2,0,0,0.0
baseline,13,310,True,150,33,115,0.22297297297297297,1650,132,1514,0.08,4,0,0,0.0
baseline,13,320,True,150,16,134,0.10666666666666667,1800,148,1648,0.08222222222222222,4,0,0,0.0
baseline,13,330,True,150,0,150,0.0,1950,148,1798,0.0758974358974359,4,0,0,0.0
baseline,13,340,True,150,0,150,0.0,2100,148,1948,0.07047619047619047,4,0,0,0.0
baseline,13,350,True,150,0,150,0.0,2250,148,2098,0.06577777777777778,4,0,0,0.0
