generated,arrived,dropped,total_delay,decision_count,decision_time_total_s,loop_avoided,retry_events,drop_no_route,drop_retry_exceeded,pdr,average_delay_s,average_decision_time_s,mode,sim_seconds,decision_interval,packet_interval_s,rounds,arrived_packets,dropped_packets
608,57,549,135.52798213327256,0,0.0,9418,0,0,0,0.09375,0.22364353487338706,0.0,baseline,120,10,0.2,12,57,549
608,607,0,64.10716862455597,12,0.9019671519999974,3699,0,0,0,0.9983552631578947,0.10561312788229978,0.07516392933333312,quantum,120,10,0.2,12,607,0
