mode,n_seeds,pdr_mean,pdr_std,average_delay_s_mean,average_delay_s_std,average_decision_time_s_mean,average_decision_time_s_std,loop_avoided_mean,loop_avoided_std,arrived_mean,arrived_std,dropped_mean,dropped_std
baseline,5,0.08671119376129914,0.02889418186023906,0.2224441082921552,0.0045200257462745495,0.0,0.0,45025.4,1115.062078989327,260.6,86.88751348726697,2742.6,86.37268086611645
quantum,5,0.7800477961029613,0.00016305978720980883,0.14206285842760583,1.64616938968872e-05,0.10323649460332188,0.026299966311399307,26188.4,15.589740215924062,2344.2,2.227105745132009,660.0,0.0
