mode,n_seeds,pdr_mean,pdr_std,average_delay_s_mean,average_delay_s_std,average_decision_time_s_mean,average_decision_time_s_std,cache_hit_rate_mean,cache_hit_rate_std,arrived_mean,arrived_std,dropped_mean,dropped_std,loop_avoided_mean,loop_avoided_std
baseline,5,0.07966666666666666,0.017528988336431895,0.22259730002511585,0.00318406797734106,0.0,0.0,0.0,0.0,286.8,63.10435801115482,3311.2,63.10435801115482,54034.4,988.8987005755444
quantum,5,0.7783888888888889,0.006164914666036046,0.1368053594793394,0.001463103179679515,0.02905453848657392,0.007342487424441532,0.7166666666666667,0.0,2802.2,22.19369279772972,796.8,22.193692797729717,30095.0,422.04596906024346
