mode,seed,time_s,in_burst,window_generated,window_arrived,window_dropped,window_pdr,cumulative_generated,cumulative_arrived,cumulative_dropped,cumulative_pdr,queue_depth,cache_hits,cache_misses,cache_hit_rate
baseline,11,10,False,50,0,48,0.0,50,0,48,0.0,2,0,0,0.0
baseline,11,20,False,50,0,50,0.0,100,0,98,0.0,2,0,0,0.0
baseline,11,30,False,50,0,50,0.0,150,0,148,0.0,2,0,0,0.0
baseline,11,40,False,50,0,50,0.0,200,0,198,0.0,2,0,0,0.0
baseline,11,50,False,50,0,50,0.0,250,0,248,0.0,2,0,0,0.0
baseline,11,60,False,50,50,1,0.9803921568627451,300,50,249,0.16666666666666666,1,0,0,0.0
baseline,11,70,False,50,0,49,0.0,350,50,298,0.14285714285714285,2,0,0,0.0
baseline,11,80,False,50,0,50,0.0,400,50,348,0.125,2,0,0,0.0
baseline,11,90,False,50,0,50,0.0,450,50,398,0.1111111111111111,2,0,0,0.0
baseline,11,100,False,50,0,50,0.0,500,50,448,0.1,2,0,0,0.0
baseline,11,110,False,50,0,50,0.0,550,50,498,0.09090909090909091,2,0,0,0.0
baseline,11,120,False,50,0,50,0.0,600,50,548,0.08333333333333333,2,0,0,0.0
baseline,11,130,False,50,0,50,0.0,650,50,598,0.07692307692307693,2,0,0,0.0
baseline,11,140,False,50,0,50,0.0,700,50,648,0.07142857142857142,2,0,0,0.0
baseline,11,150,False,50,50,1,0.9803921568627451,750,100,649,0.13333333333333333,1,0,0,0.0
baseline,11,160,False,50,0,49,0.0,800,100,698,0.125,2,0,0,0.0
baseline,11,170,False,50,0,50,0.0,850,100,748,0.11764705882352941,2,0,0,0.0
baseline,11,180,False,50,0,50,0.0,900,100,798,0.1111111111111111,2,0,0,0.0
baseline,11,190,False,50,0,50,0.0,950,100,848,0.10526315789473684,2,0,0,0.0
baseline,11,200,False,50,0,50,0.0,1000,100,898,0.1,2,0,0,0.0
baseline,11,210,False,50,0,50,0.0,1050,100,948,0.09523809523809523,2,0,0,0.0
baseline,11,220,False,50,0,50,0.0,1100,100,998,0.09090909090909091,2,0,0,0.0
baseline,11,230,False,50,0,50,0.0,1150,100,1048,0.08695652173913043,2,0,0,0.0
baseline,11,240,False,50,0,50,0.0,1200,100,1098,0.08333333333333333,2,0,0,0.0
baseline,11,250,False,50,0,50,0.0,1250,100,1148,0.08,2,0,0,0.0
baseline,11,260,False,50,0,50,0.0,1300,100,1198,0.07692307692307693,2,0,0,0.0
baseline,11,270,False,50,0,50,0.0,1350,100,1248,0.07407407407407407,2,0,0,0.0
baseline,11,280,False,50,0,50,0.0,1400,100,1298,0.07142857142857142,2,0,0,0.0
baseline,11,290,False,50,0,50,0.0,1450,100,1348,0.06896551724137931,2,0,0,0.0
baseline,11,300,True,50,0,50,0.0,1500,100,1398,0.06666666666666667,2,0,0,0.0
baseline,11,310,True,150,0,148,0.0,1650,100,1546,0.06060606060606061,4,0,0,0.0
baseline,11,320,True,150,0,150,0.0,1800,100,1696,0.05555555555555555,4,0,0,0.0
baseline,11,330,True,150,1,149,0.006666666666666667,1950,101,1845,0.05179487179487179,4,0,0,0.0
baseline,11,340,True,150,17,134,0.11258278145695365,2100,118,1979,0.05619047619047619,3,0,0,0.0
baseline,11,350,True,150,115,34,0.7718120805369127,2250,233,2013,0.10355555555555555,4,0,0,0.0
baseline,11,360,False,150,1,149,0.006666666666666667,2400,234,2162,0.0975,4,0,0,0.0
baseline,11,370,False,50,0,52,0.0,2450,234,2214,0.09551020408163265,2,0,0,0.0
baseline,11,380,False,50,0,50,0.0,2500,234,2264,0.0936,2,0,0,0.0
baseline,11,390,False,50,0,50,0.0,2550,234,2314,0.09176470588235294,2,0,0,0.0
baseline,11,400,False,50,0,50,0.0,2600,234,2364,0.09,2,0,0,0.0
baseline,11,410,False,50,0,50,0.0,2650,234,2414,0.08830188679245284,2,0,0,0.0
baseline,11,420,False,50,0,50,0.0,2700,234,2464,0.08666666666666667,2,0,0,0.0
baseline,11,430,False,50,0,50,0.0,2750,234,2514,0.08509090909090909,2,0,0,0.0
baseline,11,440,False,50,0,50,0.0,2800,234,2564,0.08357142857142857,2,0,0,0.0
