mode,sim_seconds,decision_interval,packet_interval_s,rounds,generated,arrived,dropped,arrived_packets,dropped_packets,pdr,average_delay_s,decision_count,decision_time_total_s,average_decision_time_s,total_delay
baseline,600,10,1.0,60,607,10,596,10,596,0.016474464579901153,0.2343311144031931,0,0.0,0.0,142.00465532833502
quantum,600,10,1.0,60,607,201,405,201,405,0.3311367380560132,0.18797313765267776,60,3.57267768602469,0.0595446281004115,113.91172141752271
