mode,seed,time_s,in_burst,window_generated,window_arrived,window_dropped,window_pdr,cumulative_generated,cumulative_arrived,cumulative_dropped,cumulative_pdr,queue_depth,cache_hits,cache_misses,cache_hit_rate
baseline,19,10,False,50,0,48,0.0,50,0,48,0.0,2,0,0,0.0
baseline,19,20,False,50,0,50,0.0,100,0,98,0.0,2,0,0,0.0
baseline,19,30,False,50,0,50,0.0,150,0,148,0.0,2,0,0,0.0
baseline,19,40,False,50,0,50,0.0,200,0,198,0.0,2,0,0,0.0
baseline,19,50,False,50,0,50,0.0,250,0,248,0.0,2,0,0,0.0
baseline,19,60,False,50,0,50,0.0,300,0,298,0.0,2,0,0,0.0
baseline,19,70,False,50,0,50,0.0,350,0,348,0.0,2,0,0,0.0
baseline,19,80,False,50,0,50,0.0,400,0,398,0.0,2,0,0,0.0
baseline,19,90,False,50,0,50,0.0,450,0,448,0.0,2,0,0,0.0
baseline,19,100,False,50,50,1,0.9803921568627451,500,50,449,0.1,1,0,0,0.0
baseline,19,110,False,50,0,49,0.0,550,50,498,0.09090909090909091,2,0,0,0.0
baseline,19,120,False,50,0,50,0.0,600,50,548,0.08333333333333333,2,0,0,0.0
baseline,19,130,False,50,50,1,0.9803921568627451,650,100,549,0.15384615384615385,1,0,0,0.0
baseline,19,140,False,50,0,49,0.0,700,100,598,0.14285714285714285,2,0,0,0.0
baseline,19,150,False,50,0,50,0.0,750,100,648,0.13333333333333333,2,0,0,0.0
baseline,19,160,False,50,50,1,0.9803921568627451,800,150,649,0.1875,1,0,0,0.0
baseline,19,170,False,50,0,49,0.0,850,150,698,0.17647058823529413,2,0,0,0.0
baseline,19,180,False,50,0,50,0.0,900,150,748,0.16666666666666666,2,0,0,0.0
baseline,19,190,False,50,0,50,0.0,950,150,798,0.15789473684210525,2,0,0,0.0
baseline,19,200,False,50,0,50,0.0,1000,150,848,0.15,2,0,0,0.0
baseline,19,210,False,50,0,50,0.0,1050,150,898,0.14285714285714285,2,0,0,0.0
baseline,19,220,False,50,0,50,0.0,1100,150,948,0.13636363636363635,2,0,0,0.0
baseline,19,230,False,50,0,50,0.0,1150,150,998,0.13043478260869565,2,0,0,0.0
baseline,19,240,False,50,1,49,0.02,1200,151,1047,0.12583333333333332,2,0,0,0.0
baseline,19,250,False,50,0,50,0.0,1250,151,1097,0.1208,2,0,0,0.0
baseline,19,260,False,50,1,49,0.02,1300,152,1146,0.11692307692307692,2,0,0,0.0
baseline,19,270,False,50,0,50,0.0,1350,152,1196,0.11259259259259259,2,0,0,0.0
baseline,19,280,False,50,0,50,0.0,1400,152,1246,0.10857142857142857,2,0,0,0.0
baseline,19,290,False,50,0,50,0.0,1450,152,1296,0.10482758620689656,2,0,0,0.0
baseline,19,300,True,50,0,50,0.0,1500,152,1346,0.10133333333333333,2,0,0,0.0
baseline,19,310,True,150,0,148,0.0,1650,152,1494,0.09212121212121212,4,0,0,0.0
baseline,19,320,True,150,0,150,0.0,1800,152,1644,0.08444444444444445,4,0,0,0.0
baseline,19,330,True,150,0,150,0.0,1950,152,1794,0.07794871794871795,4,0,0,0.0
baseline,19,340,True,150,17,133,0.11333333333333333,2100,169,1927,0.08047619047619048,4,0,0,0.0
baseline,19,350,True,150,17,133,0.11333333333333333,2250,186,2060,0.08266666666666667,4,0,0,0.0
baseline,19,360,False,150,17,134,0.11258278145695365,2400,203,2194,0.08458333333333333,3,0,0,0.0
baseline,19,370,False,50,50,2,0.9615384615384616,2450,253,2196,0.10326530612244898,1,0,0,0.0
baseline,19,380,False,50,0,49,0.0,2500,253,2245,0.1012,2,0,0,0.0
baseline,19,390,False,50,0,50,0.0,2550,253,2295,0.0992156862745098,2,0,0,0.0
baseline,19,400,False,50,0,50,0.0,2600,253,2345,0.0973076923076923,2,0,0,0.0
baseline,19,410,False,50,0,50,0.0,2650,253,2395,0.09547169811320755,2,0,0,0.0
baseline,19,420,False,50,0,50,0.0,2700,253,2445,0.0937037037037037,2,0,0,0.0
baseline,19,430,False,50,0,50,0.0,2750,253,2495,0.092,2,0,0,0.0
baseline,19,440,False,50,0,50,0.0,2800,253,2545,0.09035714285714286,2,0,0,0.0
baseline,19,450,False,50,0,50,0.0,2850,253,2595,0.0887719298245614,2,0,0,0.0
baseline,19,460,False,50,0,50,0.0,2900,253,2645,0.08724137931034483,2,0,0,0.0
baseline,19,470,False,50,0,50,0.0,2950,253,2695,0.08576271186440677,2,0,0,0.0
baseline,19,480,False,50,0,50,0.0,3000,253,2745,0.08433333333333333,2,0,0,0.0
baseline,19,490,False,50,0,50,0.0,3050,253,2795,0.08295081967213115,2,0,0,0.0
baseline,19,500,False,50,0,50,0.0,3100,253,2845,0.08161290322580646,2,0,0,0.0
baseline,19,510,False,50,0,50,0.0,3150,253,2895,0.08031746031746032,2,0,0,0.0
baseline,19,520,False,50,50,1,0.9803921568627451,3200,303,2896,0.0946875,1,0,0,0.0
baseline,19,530,False,50,0,49,0.0,3250,303,2945,0.09323076923076923,2,0,0,0.0
baseline,19,540,False,50,0,50,0.0,3300,303,2995,0.09181818181818181,2,0,0,0.0
baseline,19,550,False,50,0,50,0.0,3350,303,3045,0.09044776119402985,2,0,0,0.0
baseline,19,560,False,50,50,1,0.9803921568627451,3400,353,3046,0.1038235294117647,1,0,0,0.0
baseline,19,570,False,50,0,49,0.0,3450,353,3095,0.10231884057971015,2,0,0,0.0
baseline,19,580,False,50,0,50,0.0,3500,353,3145,0.10085714285714285,2,0,0,0.0
baseline,19,590,False,50,50,1,0.9803921568627451,3550,403,3146,0.11352112676056338,1,0,0,0.0
baseline,19,600,False,50,0,49,0.0,3600,403,3195,0.11194444444444444,2,0,0,0.0
quantum,19,10,False,50,49,0,1.0,50,49,0,0.98,1,0,1,0.0
quantum,19,20,False,50,50,0,1.0,100,99,0,0.99,1,0,2,0.0
quantum,19,30,False,50,50,0,1.0,150,149,0,0.9933333333333333,1,1,2,0.3333333333333333
quantum,19,40,False,50,50,0,1.0,200,199,0,0.995,1,2,2,0.5
quantum,19,50,False,50,50,0,1.0,250,249,0,0.996,1,3,2,0.6
