generated,arrived,dropped,total_delay,decision_count,decision_time_total_s,loop_avoided,retry_events,drop_no_route,drop_retry_exceeded,pdr,average_delay_s,average_decision_time_s,mode,seed,sim_seconds,packet_interval_s,burst_start_s,burst_duration_s,burst_multiplier,cache_hits,cache_misses,cache_hit_rate
3600,403,3195,778.6470955935874,0,0.0,52149,0,0,0,0.11194444444444444,0.21641108826947955,0.0,baseline,19,600,0.2,300,60,3.0,0,0,0.0
3600,2806,793,489.58433782819026,60,1.5940058309934102,29917,0,0,0,0.7794444444444445,0.1360334364624035,0.02656676384989017,quantum,19,600,0.2,300,60,3.0,43,17,0.7166666666666667
